net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation
263,87,7,1,0.09689755313528532,0.027097044460416452,4.420927649112372,-2.871541177116914,0.14317364716397976,0.4166280096202358,164.5271900797619,4.427598739380243,4.4142565588445,0.9969865876920884,0.003017959486041661
267,88,11,1,0.24250079948019218,0.08283457437659601,4.460550523177576,-2.8083252937083754,0.39995813992081536,0.9209756365342621,160.90518360091886,4.419072222971061,4.502028823384091,1.018772402039914,0.018597838984667242
269,89,11,1,0.1258801618777299,0.08578510661506054,4.330758519831108,-2.3902108865269565,0.193292216865247,0.5884995144423106,136.94899575454141,4.228910178525388,4.432606861136828,1.0481676540792524,0.0470348743017387
270,90,5,1,0.18827798725364875,0.06234698589029541,4.279065356535841,-2.23767933823356,0.2933660197389368,0.7869155121503867,128.2095826054897,4.297921245823554,4.260209467248127,0.9912255771061247,0.008813087773437752
274,91,1,1,0.15188877702686154,0.059350492815288806,4.424312554883685,-1.9667155067211488,0.26480691990062466,0.7612185459297921,112.68449875724207,4.345257257430906,4.503367852336465,1.0363869353500696,0.03573675976644826
281,92,7,1,0.18105373523275584,0.029820421600446366,4.355257355138544,-1.6351230541054929,0.2182924111710752,0.8348685724096281,93.68564965904052,4.337386705743209,4.373128004533879,1.0082402841193165,0.008206472287682589
282,93,1,1,0.19859568455289467,0.04691064821254151,4.29114257556629,-0.5510711379128551,0.3130474254376327,0.8808018397782788,31.574051534814455,4.2672064666397285,4.315078684492853,1.0112186317271923,0.01115605389709225
284,94,5,1,0.12836119003101001,0.027264883110227452,4.354561283149059,0.8833443093516057,0.2396506006238806,0.46447425173210244,-50.61190021444313,4.378005217575273,4.331117348722845,0.9892901295173886,0.010767529907977443
285,95,5,1,0.1317631835756893,0.062139684518461226,4.3391698634191584,0.041788381925317336,0.19671502730645424,0.7774608672370569,-2.394297750673281,4.307923220759377,4.37041650607894,1.014506592183077,0.014402129275096015
288,96,5,1,0.11285844792957979,0.054462353122706864,4.368531072609149,2.186661913467136,0.21843303314412696,0.4515752016676153,-125.28649932778406,4.377859452133982,4.359202693084316,0.9957383832775693,0.004270716801499791
