net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg,rho_even,rho_odd,q_odd_over_even,radius_parity_separation,domain_exact,f_decoder_exact,q_certified,q_break_at,composition_exact,substitution_exact,family
148,74,3,1,0.24079295150093538,0.07852315786189469,3.885163666004715,-2.73604645267013,0.38871260473886,1.0529749966002857,156.76391084257958,3.8846654578357516,3.8856618741736773,1.000256499909385,0.00025646701750156803,True,True,False,gcd_k_not_2,False,True,FAMILY_F
149,75,1,1,0.19561078299908974,0.07225816694574838,3.848139739217023,0.33666448764356754,0.320535543318322,0.9137827263969442,-19.289455909231844,3.8376613273926394,3.8586181510414064,1.005460831965338,0.005445962223043129,True,True,False,gcd_k_not_2,False,True,FAMILY_F
151,76,3,1,0.1539699023554151,0.0680066497730947,3.8828725166918745,2.736560018362574,0.24036302472594515,0.7276540894466541,-156.79333913794687,3.875075390692087,3.8906696426916625,1.004024244802316,0.004016163789189121,True,True,False,gcd_k_not_2,False,True,FAMILY_F
152,77,3,1,0.13063808140658678,0.08484323694471273,4.0122057037481635,-1.9553079998433136,0.22079069771816157,0.6656785776962388,112.03089634019688,4.032206377327925,3.992205030168403,0.9900795387397731,0.00996991433468949,True,True,False,gcd_k_not_2,False,True,FAMILY_F
155,78,7,1,0.17119202307366171,0.05149984211386809,3.980977376989931,-2.907031356937645,0.27782919518148486,1.0876279872264276,166.5606268618383,4.104937592462956,3.857017161516906,0.9396043361533061,0.06227627224887812,True,True,False,gcd_k_not_2,False,True,FAMILY_F
157,79,4,2,8.98812263050621,0.6050815651749114,5.742005392961803,-0.04869656272768258,13.368819309486495,27.265116133543426,3.016837396544696,9.037426943409546,2.4465838425140607,0.270716859769274,1.1478294863627496,True,False,True,,False,False,FAMILY_Q
159,80,7,1,0.1609143926802604,0.0707064998870504,3.835930126954729,-1.8882772814377315,0.28069791141202605,0.8186477122199621,108.19031996638431,3.8760290361491316,3.7958312177603277,0.9793092833823347,0.02090700709725164,True,True,False,gcd_k_not_2,False,True,FAMILY_F
160,81,9,1,0.13180570210572085,0.09012186153124875,3.9263209644361448,-2.981772353910846,0.26098676752144734,0.6844317933742489,170.84297055352525,3.9459629969408345,3.9066789319314545,0.9900444922976126,0.010005311681140546,True,True,False,gcd_k_not_2,False,True,FAMILY_F
161,82,1,1,0.1363810985831887,0.06809187336326687,3.9432602363431024,-2.0689916241066015,0.21095262641269344,0.6595406416938759,118.54448845684348,3.939452018591704,3.9470684540945014,1.0019333743543144,0.0019315071910802342,True,True,False,gcd_k_not_2,False,True,FAMILY_F
162,83,3,1,0.1710502931702127,0.055084826248594246,3.922945807505145,-1.0490526593556897,0.2751079362809128,0.67925005072544,60.10628904833311,3.9242041542612065,3.9216874607490824,0.9993586741634246,0.0006415315519549998,True,True,False,gcd_k_not_2,False,True,FAMILY_F
