net,local_idx,best_k,gcd_k_n,phase_mae_deg,radius_cv,mean_radius,phi,mean_abs_deg,max_abs_deg,gauge_deg
254,141,1,1,0.05585070556287233,0.051103245546641154,6.272381020636101,-2.4028856486252215,0.08597234614698505,0.28697808341482195,137.6752063168367
256,142,3,1,0.04973673176620504,0.05416794304009569,6.139504457394457,3.0151331267749084,0.07242622096105317,0.21042813658762305,-172.75440283340546
257,143,13,1,0.07378898643721953,0.06448319116547988,6.200171776709801,1.3009487110766649,0.11477834840516833,0.3640159699841054,-74.53887040990395
258,144,13,1,0.06115323360268255,0.05457768068866429,6.171907009297876,-2.8516248494445753,0.09645260954674177,0.29398022271922636,163.3860685936512
264,145,21,1,0.059963981520504875,0.06543023882847056,6.21361645339106,-2.1698533982976977,0.09818566450339125,0.32420871907054327,124.32344191821002
270,146,17,1,0.07121154135750597,0.07166831143447447,6.118956141009846,-0.7742509433975611,0.1111110127497602,0.3593917902108457,44.36131139972701
272,147,13,1,0.05466089387796957,0.06361417476583776,6.341864534926928,-1.7383569268801722,0.0949905417228262,0.3806686466479199,99.60051524080248
273,148,13,1,0.03744345079759199,0.06896545301964366,6.348182516673174,-0.7491263339265735,0.06633402664025757,0.2592405766935188,42.921777252462526
274,149,7,1,0.0740182297991515,0.058821756706296004,6.359015246711846,0.34370638696925365,0.12386060366835323,0.41795969058405286,-19.692925476214416
278,150,5,1,0.08399327366972985,0.07334425114387874,6.236710215924057,0.8423916317363176,0.12250627726287498,0.4664630619280385,-48.265485247093636
279,151,9,1,0.05414438391041446,0.0663852709289268,6.329460887616775,1.8385882970675025,0.08983787246938782,0.31517783506536245,-105.34334971334867
282,152,6,2,3.7717487664351923,0.535406755389809,9.462535059991666,-2.099528781288884,5.649415604674125,11.423136277863929,120.31055412317372
284,153,7,1,0.041294499517612916,0.04995937269509582,6.231692642198496,3.093629105979622,0.06508627949727856,0.21046062140949579,-177.25189114166773
